group_id,n,pos,neg,pos_rate,dataset
2019_YasIsland,877,25,852,0.028506271379703536,my
2020_Barcelona,1046,31,1015,0.029636711281070746,my
2020_Budapest,1084,35,1049,0.03228782287822878,my
2020_Imola,911,25,886,0.027442371020856202,my
2020_Istanbul,871,32,839,0.03673938002296211,my
2020_Monza,705,17,688,0.024113475177304965,my
2020_Mugello,531,31,500,0.0583804143126177,my
2020_Nürburgring,800,28,772,0.035,my
2020_Portimão,1060,20,1040,0.018867924528301886,my
2020_Sakhir,2026,60,1966,0.029615004935834157,my
2020_Silverstone,1476,53,1423,0.03590785907859079,my
2020_Sochi,699,17,682,0.024320457796852647,my
2020_Spa-Francorchamps,547,8,539,0.014625228519195612,my
2020_Spielberg,1805,51,1754,0.028254847645429362,my
2020_YasIsland,823,19,804,0.023086269744835967,my
2021_Austin,846,34,812,0.04018912529550828,my
2021_Baku,658,25,633,0.037993920972644375,my
2021_Barcelona,1017,33,984,0.032448377581120944,my
2021_Budapest,723,14,709,0.019363762102351315,my
2021_Imola,875,34,841,0.038857142857142854,my
2021_Istanbul,942,17,925,0.018046709129511677,my
2021_Jeddah,565,9,556,0.01592920353982301,my
2021_LeCastellet,859,17,842,0.01979045401629802,my
2021_Lusail,909,27,882,0.0297029702970297,my
2021_MexicoCity,1020,19,1001,0.018627450980392157,my
2021_MonteCarlo,1155,16,1139,0.013852813852813853,my
2021_Monza,668,16,652,0.023952095808383235,my
2021_Portimão,1015,34,981,0.033497536945812804,my
2021_Sakhir,821,33,788,0.040194884287454324,my
2021_Silverstone,747,20,727,0.02677376171352075,my
2021_Sochi,829,30,799,0.03618817852834741,my
2021_Spielberg,2146,41,2105,0.019105312208760484,my
2021_SãoPaulo,1116,66,1050,0.05913978494623656,my
2021_YasIsland,786,27,759,0.03435114503816794,my
2021_Zandvoort,1115,28,1087,0.025112107623318385,my
2022_Austin,724,28,696,0.03867403314917127,my
2022_Baku,689,23,666,0.033381712626995644,my
2022_Barcelona,1030,45,985,0.043689320388349516,my
2022_Budapest,1161,32,1129,0.02756244616709733,my
2022_Imola,933,22,911,0.023579849946409433,my
2022_Jeddah,629,15,614,0.02384737678855326,my
2022_LeCastellet,755,22,733,0.02913907284768212,my
2022_MarinaBay,659,14,645,0.021244309559939303,my
2022_Melbourne,821,18,803,0.02192448233861145,my
2022_MexicoCity,1134,19,1115,0.01675485008818342,my
2022_Miami,822,23,799,0.027980535279805353,my
2022_Monaco,939,27,912,0.02875399361022364,my
2022_Montréal,1018,25,993,0.02455795677799607,my
2022_Monza,778,23,755,0.02956298200514139,my
2022_Sakhir,914,51,863,0.05579868708971553,my
2022_Silverstone,594,26,568,0.04377104377104377,my
2022_Spa-Francorchamps,596,32,564,0.053691275167785234,my
2022_Spielberg,1080,35,1045,0.032407407407407406,my
2022_Suzuka,330,16,314,0.048484848484848485,my
2022_SãoPaulo,1017,36,981,0.035398230088495575,my
2022_YasIsland,914,30,884,0.03282275711159737,my
2022_Zandvoort,1138,58,1080,0.050966608084358524,my
2023_Austin,814,31,783,0.038083538083538086,my
2023_Baku,743,15,728,0.020188425302826378,my
2023_Barcelona,1083,38,1045,0.03508771929824561,my
2023_Budapest,1013,32,981,0.0315893385982231,my
2023_Jeddah,743,19,724,0.02557200538358008,my
2023_LasVegas,684,24,660,0.03508771929824561,my
2023_Lusail,800,48,752,0.06,my
2023_MarinaBay,849,20,829,0.023557126030624265,my
2023_Melbourne,715,9,706,0.012587412587412588,my
2023_MexicoCity,1013,30,983,0.029615004935834157,my
2023_Miami,934,16,918,0.017130620985010708,my
2023_Monaco,1249,28,1221,0.02241793434747798,my
2023_Montréal,1072,28,1044,0.026119402985074626,my
2023_Monza,764,23,741,0.030104712041884817,my
2023_Sakhir,852,44,808,0.051643192488262914,my
2023_Silverstone,776,22,754,0.028350515463917526,my
2023_Spa-Francorchamps,653,29,624,0.0444104134762634,my
2023_Spielberg,1106,35,1071,0.03164556962025317,my
2023_Suzuka,636,33,603,0.05188679245283019,my
2023_SãoPaulo,852,30,822,0.035211267605633804,my
2023_YasIsland,950,33,917,0.034736842105263156,my
2023_Zandvoort,1064,64,1000,0.06015037593984962,my
2024_Austin,833,17,816,0.02040816326530612,my
2024_Baku,771,20,751,0.02594033722438392,my
2024_Barcelona,1090,36,1054,0.03302752293577982,my
2024_Budapest,1114,33,1081,0.0296229802513465,my
2024_Imola,1035,20,1015,0.01932367149758454,my
2024_Jeddah,694,16,678,0.023054755043227664,my
2024_LasVegas,756,37,719,0.04894179894179894,my
2024_Lusail,727,38,689,0.052269601100412656,my
2024_MarinaBay,960,19,941,0.019791666666666666,my
2024_Melbourne,791,32,759,0.040455120101137804,my
2024_MexicoCity,973,18,955,0.018499486125385406,my
2024_Miami,906,22,884,0.024282560706401765,my
2024_Monaco,969,6,963,0.006191950464396285,my
2024_Montréal,1027,35,992,0.034079844206426485,my
2024_Monza,816,25,791,0.030637254901960783,my
2024_Sakhir,924,38,886,0.04112554112554113,my
2024_Shanghai,805,34,771,0.0422360248447205,my
2024_Silverstone,774,38,736,0.04909560723514212,my
2024_Spa-Francorchamps,675,27,648,0.04,my
2024_Spielberg,1161,36,1125,0.031007751937984496,my
2024_Suzuka,692,28,664,0.04046242774566474,my
2024_SãoPaulo,868,13,855,0.014976958525345621,my
2024_YasIsland,832,26,806,0.03125,my
2024_Zandvoort,1182,21,1161,0.017766497461928935,my
2018_Austin,732,17,715,0.023224043715846996,my_w
2018_Baku,532,23,509,0.043233082706766915,my_w
2018_Barcelona,780,15,765,0.019230769230769232,my_w
2018_Budapest,991,17,974,0.017154389505549948,my_w
2018_Hockenheim,1019,36,983,0.03532875368007851,my_w
2018_LeCastellet,719,13,706,0.01808066759388039,my_w
2018_Melbourne,730,16,714,0.021917808219178082,my_w
2018_MexicoCity,1000,21,979,0.021,my_w
2018_MonteCarlo,1248,22,1226,0.017628205128205128,my_w
2018_Montréal,979,16,963,0.01634320735444331,my_w
2018_Monza,743,14,729,0.018842530282637954,my_w
2018_Sakhir,789,29,760,0.036755386565272496,my_w
2018_Shanghai,893,27,866,0.030235162374020158,my_w
2018_Silverstone,705,24,681,0.03404255319148936,my_w
2018_Singapore,885,18,867,0.020338983050847456,my_w
2018_Sochi,762,16,746,0.02099737532808399,my_w
2018_Spa-Francorchamps,489,14,475,0.028629856850715747,my_w
2018_Spielberg,996,19,977,0.019076305220883535,my_w
2018_Suzuka,784,20,764,0.025510204081632654,my_w
2018_SãoPaulo,1121,21,1100,0.01873327386262266,my_w
2018_YasMarina,696,13,683,0.01867816091954023,my_w
2019_Austin,836,27,809,0.03229665071770335,my_w
2019_Baku,762,23,739,0.030183727034120734,my_w
2019_Barcelona,1043,31,1012,0.029721955896452542,my_w
2019_Budapest,1118,21,1097,0.018783542039355994,my_w
2019_Hockenheim,826,64,762,0.0774818401937046,my_w
2019_LeCastellet,846,20,826,0.02364066193853428,my_w
